settings,grid,on
,x,f(x)
414,6.553106212424851,-3.88903141541877
415,6.593186372745489,-4.427899600783234
416,6.633266533066131,-4.945832230240177
417,6.673346693386772,-5.439191650711259
418,6.713426853707414,-5.904443110955977
419,6.753507014028056,-6.338178655585275
420,6.793587174348698,-6.737140590128054
421,6.8336673346693395,-7.098244364462106
422,6.873747494989978,-7.418600723054722
423,6.9138276553106195,-7.695536972540294
424,6.953907815631261,-7.926617220194743
425,6.993987975951903,-8.10966144085035
426,7.034068136272545,-8.242763234717383
427,7.074148296593187,-8.32430614443117
428,7.114228456913828,-8.352978406402467
429,7.1543086172344665,-8.327786019190798
430,7.194388777555108,-8.248064020113048
431,7.23446893787575,-8.113485870606379
432,7.274549098196392,-7.924070860941999
433,7.314629258517034,-7.6801894556869925
434,7.354709418837675,-7.3825665127815085
435,7.394789579158317,-7.03228232117933
436,7.434869739478959,-6.6307714146285495
437,7.474949899799597,-6.179819132277262
438,7.515030060120239,-5.681555910305025
439,7.555110220440881,-5.138449302629644
440,7.595190380761522,-4.553293742838404
441,7.635270541082164,-3.929198073765664
442,7.675350701402806,-3.269570885495059
443,7.715430861723448,-2.578103716921133
444,7.755511022044086,-1.8587521902720003
445,7.795591182364728,-1.1157151620817236
446,7.8356713426853695,-0.35341198792117356
447,7.875751503006011,-0.42354198834689705
448,7.915831663326653,-1.2103615970101622
449,7.955911823647295,-2.0021195203962288
450,7.9959919839679365,-2.79377533810989
451,8.036072144288575,-3.5802057803787126
452,8.076152304609217,-4.356236019918775
453,8.116232464929858,-5.116671823251016
454,8.1563126252505,-5.856332373865103
455,8.196392785571142,-6.570083572103508
456,8.236472945891784,-7.252871610197817
457,8.276553106212425,-7.899756615585826
458,8.316633266533067,-8.505946151528937
459,8.356713426853705,-9.066828361180944
460,8.396793587174347,-9.578004539673385
461,8.436873747494989,-10.035320918511257
462,8.47695390781563,-10.434899447645858
463,8.517034068136272,-10.773167363022065
464,8.557114228456914,-11.046885331200773
465,8.597194388777556,-11.253173967832952
466,8.637274549098194,-11.389538533303718
467,8.677354709418836,-11.453891616758737
468,8.717434869739478,-11.44457362894673
469,8.75751503006012,-11.360370934829296
470,8.797595190380761,-11.200531468680776
471,8.837675350701403,-10.964777687377191
472,8.877755511022045,-10.653316731697503
473,8.917835671342683,-10.266847680663226
474,8.957915831663325,-9.806565800153576
475,8.997995991983966,-9.274163704167021
476,9.038076152304608,-8.67182936506887
477,9.07815631262525,-8.002240927872199
478,9.118236472945892,-7.268558302942159
479,9.158316633266534,-6.474411531382915
480,9.198396793587175,-5.623885937648667
481,9.238476953907814,-4.721504104495601
482,9.278557114228455,-3.772204726136295
483,9.318637274549097,-2.781318416248977
484,9.358717434869739,-1.7545405681935606
485,9.39879759519038,-0.6979013852746371
486,9.438877755511022,-0.38226678097573263
487,9.478957915831664,-1.479364626870941
488,9.519038076152302,-2.586563450339553
489,9.559118236472944,-3.6968448674473913
490,9.599198396793586,-4.8030424793168445
491,9.639278557114228,-5.897885260687699
492,9.67935871743487,-6.97404242608332
493,9.719438877755511,-8.024169515516864
494,9.759519038076153,-9.040955428998664
495,9.799599198396791,-10.017170127897899
496,9.839679358717433,-10.94571271156885
497,9.879759519038075,-11.819659569663354
498,9.919839679358716,-12.632312304305831
499,9.959919839679358,-13.377245111869868
500,10.0,-14.048351311540141
